preamble,stimulus,item,category,"score (sum, mean, [list)",params,model
"A list includes raven, goldfinch, robin, swan, bluebird, catbird, finch, goose, swallow, toucan, mockingbird, buzzard, hummingbird, flamingo, oriole, pheasant, woodpecker, chicken, thrush, ostrich, pigeon, pelican, falcon, penguin, parakeet, albatross, bluejay, sandpiper, titmouse and hawk. In the list a chicken is",present.,chicken,bird,"[-4.375, -4.21875, -3.71875, -4.375, -3.875, -3.84375, -3.1875, -3.9375, -3.5, -4.53125, -4.21875, -3.875, -4.625, -4.40625, -4.09375, -3.625, -3.90625, -4.0625, -4.28125, -4.0, -3.78125, -4.0, -3.875, -3.4375, -3.5, -4.125, -3.625, -3.609375, -4.28125, -4.125, -4.4375, -4.5, -4.0625, -4.53125, -4.3125, -4.90625, -4.03125, -4.21875, -3.65625, -4.03125, -5.0, -4.28125, -3.96875, -4.78125, -3.90625, -3.65625, -3.9375, -3.6875, -3.875, -4.59375]",124439808,gpt2
"A list includes raven, goldfinch, robin, swan, bluebird, catbird, finch, goose, swallow, toucan, mockingbird, buzzard, hummingbird, flamingo, oriole, pheasant, woodpecker, chicken, thrush, ostrich, pigeon, pelican, falcon, penguin, parakeet, albatross, bluejay, sandpiper, titmouse and hawk. In the list a thrush is",present.,thrush,bird,"[-4.3125, -4.40625, -3.96875, -3.28125, -3.6875, -4.65625, -3.625, -3.3125, -3.625, -4.1875, -3.6875, -3.46875, -4.28125, -3.9375, -4.03125, -3.9375, -3.96875, -3.78125, -3.75, -3.5625, -3.6875, -3.5625, -4.4375, -3.46875, -4.6875, -3.78125, -3.0, -4.34375, -4.09375, -4.4375, -3.6875, -3.96875, -4.5625, -3.5625, -3.28125, -3.125, -3.84375, -4.40625, -4.125, -3.21875, -4.3125, -4.375, -4.25, -3.0, -3.65625, -4.125, -3.90625, -3.8125, -3.75, -3.125]",124439808,gpt2
"A list includes raven, goldfinch, robin, swan, bluebird, catbird, finch, goose, swallow, toucan, mockingbird, buzzard, hummingbird, flamingo, oriole, pheasant, woodpecker, chicken, thrush, ostrich, pigeon, pelican, falcon, penguin, parakeet, albatross, bluejay, sandpiper, titmouse and hawk. In the list a ostrich is",present.,ostrich,bird,"[-3.15625, -3.875, -3.53125, -4.0625, -3.75, -4.0625, -3.71875, -3.46875, -3.59375, -3.875, -3.5, -3.28125, -4.5, -3.65625, -3.53125, -3.6875, -3.96875, -3.25, -3.875, -3.5625, -4.25, -4.0625, -3.96875, -3.25, -3.71875, -4.0, -4.59375, -4.125, -3.9375, -3.90625, -3.71875, -3.125, -3.96875, -3.78125, -4.03125, -3.71875, -3.625, -3.96875, -3.71875, -4.0625, -3.90625, -4.1875, -4.15625, -3.703125, -3.34375, -3.84375, -3.8125, -4.15625, -3.75, -3.8125]",124439808,gpt2
"A list includes raven, goldfinch, robin, swan, bluebird, catbird, finch, goose, swallow, toucan, mockingbird, buzzard, hummingbird, flamingo, oriole, pheasant, woodpecker, chicken, thrush, ostrich, pigeon, pelican, falcon, penguin, parakeet, albatross, bluejay, sandpiper, titmouse and hawk. In the list a pigeon is",present.,pigeon,bird,"[-4.3125, -4.0625, -4.28125, -3.96875, -4.28125, -4.3125, -3.90625, -3.59375, -4.8125, -4.65625, -4.25, -3.90625, -4.4375, -5.0, -3.71875, -5.3125, -3.921875, -4.65625, -4.875, -4.71875, -4.46875, -3.71875, -4.46875, -4.96875, -4.78125, -4.84375, -5.0, -3.65625, -4.875, -4.0625, -4.1875, -3.9375, -3.625, -3.9375, -4.21875, -3.78125, -3.78125, -4.125, -3.625, -4.53125, -4.0625, -4.21875, -4.15625, -4.78125, -4.1875, -4.53125, -4.375, -3.96875, -3.78125, -4.125]",124439808,gpt2
"A list includes raven, goldfinch, robin, swan, bluebird, catbird, finch, goose, swallow, toucan, mockingbird, buzzard, hummingbird, flamingo, oriole, pheasant, woodpecker, chicken, thrush, ostrich, pigeon, pelican, falcon, penguin, parakeet, albatross, bluejay, sandpiper, titmouse and hawk. In the list a pelican is",present.,pelican,bird,"[-3.875, -4.03125, -4.4375, -4.8125, -4.0625, -3.53125, -4.75, -3.65625, -3.75, -4.09375, -4.4375, -3.6875, -4.21875, -3.96875, -4.125, -3.9375, -4.0625, -3.90625, -4.53125, -4.6875, -4.25, -4.0, -4.5, -4.625, -4.15625, -4.078125, -4.125, -4.8125, -3.5625, -4.71875, -4.34375, -3.59375, -4.15625, -3.71875, -4.328125, -3.90625, -4.34375, -4.09375, -4.875, -4.46875, -3.96875, -4.78125, -4.03125, -3.84375, -4.75, -3.96875, -4.78125, -3.78125, -3.90625, -4.0]",124439808,gpt2
"A list includes raven, goldfinch, robin, swan, bluebird, catbird, finch, goose, swallow, toucan, mockingbird, buzzard, hummingbird, flamingo, oriole, pheasant, woodpecker, chicken, thrush, ostrich, pigeon, pelican, falcon, penguin, parakeet, albatross, bluejay, sandpiper, titmouse and hawk. In the list a falcon is",present.,falcon,bird,"[-3.625, -5.03125, -4.0, -3.4375, -3.6875, -4.75, -3.5625, -3.96875, -4.8125, -3.5, -4.0, -3.96875, -4.1875, -3.375, -4.5625, -4.0625, -4.125, -5.0, -3.84375, -3.4375, -4.8125, -3.34375, -3.6875, -3.875, -3.5, -4.40625, -3.65625, -4.0625, -3.6875, -3.796875, -3.625, -4.59375, -3.5625, -3.53125, -3.6875, -3.90625, -4.6875, -5.21875, -3.875, -3.625, -4.46875, -3.8125, -4.5, -3.625, -3.96875, -4.0, -4.21875, -4.03125, -3.75, -4.25]",124439808,gpt2
"A list includes raven, goldfinch, robin, swan, bluebird, catbird, finch, goose, swallow, toucan, mockingbird, buzzard, hummingbird, flamingo, oriole, pheasant, woodpecker, chicken, thrush, ostrich, pigeon, pelican, falcon, penguin, parakeet, albatross, bluejay, sandpiper, titmouse and hawk. In the list a penguin is",present.,penguin,bird,"[-4.09375, -4.03125, -4.5625, -4.53125, -3.90625, -4.03125, -3.59375, -4.625, -4.0625, -3.34375, -4.4375, -3.75, -3.21875, -3.8125, -3.9375, -3.625, -3.96875, -4.25, -3.9375, -4.21875, -4.15625, -3.875, -3.796875, -4.53125, -4.34375, -3.84375, -4.4375, -3.6875, -3.6875, -3.75, -4.40625, -4.09375, -3.375, -3.84375, -4.3125, -3.3125, -3.3125, -3.625, -3.53125, -3.34375, -3.5, -4.6875, -4.3125, -4.90625, -3.09375, -4.0, -3.9375, -4.25, -4.28125, -3.625]",124439808,gpt2
"A list includes raven, goldfinch, robin, swan, bluebird, catbird, finch, goose, swallow, toucan, mockingbird, buzzard, hummingbird, flamingo, oriole, pheasant, woodpecker, chicken, thrush, ostrich, pigeon, pelican, falcon, penguin, parakeet, albatross, bluejay, sandpiper, titmouse and hawk. In the list a parakeet is",present.,parakeet,bird,"[-3.96875, -4.0625, -3.875, -4.21875, -3.65625, -4.328125, -4.15625, -5.1875, -4.59375, -3.28125, -4.0625, -4.28125, -3.65625, -3.84375, -3.53125, -4.0625, -3.84375, -3.90625, -3.21875, -3.390625, -3.6875, -3.6875, -3.8125, -3.6875, -4.90625, -4.0, -4.59375, -3.78125, -3.75, -3.8125, -4.3125, -4.46875, -4.03125, -3.96875, -3.84375, -4.34375, -4.875, -3.46875, -4.1875, -3.78125, -3.84375, -4.09375, -3.96875, -4.375, -3.78125, -3.84375, -3.625, -3.734375, -3.875, -3.84375]",124439808,gpt2
"A list includes raven, goldfinch, robin, swan, bluebird, catbird, finch, goose, swallow, toucan, mockingbird, buzzard, hummingbird, flamingo, oriole, pheasant, woodpecker, chicken, thrush, ostrich, pigeon, pelican, falcon, penguin, parakeet, albatross, bluejay, sandpiper, titmouse and hawk. In the list a albatross is",present.,albatross,bird,"[-4.21875, -3.65625, -4.03125, -4.3125, -4.34375, -3.8125, -4.9375, -4.53125, -4.15625, -4.03125, -4.65625, -4.3125, -3.8125, -4.09375, -3.6875, -5.09375, -4.09375, -4.8125, -5.09375, -4.125, -4.0, -3.9375, -5.0, -4.78125, -4.71875, -3.9375, -3.96875, -4.28125, -3.5, -3.8125, -4.1875, -3.40625, -4.21875, -3.875, -3.5625, -4.0, -4.15625, -4.59375, -4.65625, -4.59375, -4.4375, -5.1875, -3.90625, -4.3125, -4.4375, -4.5, -4.90625, -4.09375, -5.03125, -4.6875]",124439808,gpt2
"A list includes raven, goldfinch, robin, swan, bluebird, catbird, finch, goose, swallow, toucan, mockingbird, buzzard, hummingbird, flamingo, oriole, pheasant, woodpecker, chicken, thrush, ostrich, pigeon, pelican, falcon, penguin, parakeet, albatross, bluejay, sandpiper, titmouse and hawk. In the list a bluejay is",present.,bluejay,bird,"[-3.34375, -4.21875, -3.84375, -3.59375, -4.15625, -4.125, -4.09375, -4.0625, -4.1875, -4.0, -4.8125, -3.78125, -4.0, -4.125, -4.5, -3.90625, -4.375, -3.59375, -3.5625, -4.15625, -3.5, -4.125, -3.65625, -3.78125, -4.9375, -4.1875, -4.3125, -4.6875, -3.96875, -3.875, -3.90625, -3.8125, -4.375, -4.78125, -2.96875, -5.28125, -4.40625, -4.34375, -4.71875, -4.3125, -3.34375, -4.46875, -3.8125, -4.625, -4.28125, -3.59375, -3.78125, -4.3125, -3.921875, -5.28125]",124439808,gpt2
"A list includes raven, goldfinch, robin, swan, bluebird, catbird, finch, goose, swallow, toucan, mockingbird, buzzard, hummingbird, flamingo, oriole, pheasant, woodpecker, chicken, thrush, ostrich, pigeon, pelican, falcon, penguin, parakeet, albatross, bluejay, sandpiper, titmouse and hawk. In the list a sandpiper is",present.,sandpiper,bird,"[-3.75, -3.15625, -4.03125, -4.0625, -4.4375, -3.96875, -3.796875, -3.9375, -3.59375, -4.3125, -4.125, -4.03125, -3.90625, -4.78125, -4.40625, -3.8125, -3.9375, -3.78125, -4.5625, -4.59375, -3.9375, -3.8125, -3.59375, -3.84375, -5.125, -3.96875, -3.25, -3.5625, -4.0, -3.375, -4.59375, -4.28125, -3.71875, -4.75, -4.0625, -4.5625, -3.78125, -4.78125, -4.15625, -4.15625, -4.96875, -3.3125, -3.8125, -3.875, -3.40625, -3.921875, -4.46875, -3.59375, -4.0625, -4.0625]",124439808,gpt2
"A list includes raven, goldfinch, robin, swan, bluebird, catbird, finch, goose, swallow, toucan, mockingbird, buzzard, hummingbird, flamingo, oriole, pheasant, woodpecker, chicken, thrush, ostrich, pigeon, pelican, falcon, penguin, parakeet, albatross, bluejay, sandpiper, titmouse and hawk. In the list a titmouse is",present.,titmouse,bird,"[-3.6875, -4.53125, -3.78125, -4.1875, -4.4375, -3.5, -5.1875, -4.5, -4.65625, -5.40625, -4.875, -5.21875, -4.6875, -4.75, -3.4375, -4.125, -5.0625, -3.8125, -5.34375, -5.03125, -3.8125, -4.5, -4.09375, -3.96875, -4.125, -4.15625, -4.15625, -4.28125, -4.40625, -4.21875, -3.953125, -4.53125, -3.84375, -4.3125, -4.53125, -4.28125, -4.25, -3.4375, -4.40625, -4.6875, -4.59375, -3.875, -3.6875, -3.8125, -4.09375, -5.0, -3.96875, -4.1875, -4.875, -4.40625]",124439808,gpt2
"A list includes raven, goldfinch, robin, swan, bluebird, catbird, finch, goose, swallow, toucan, mockingbird, buzzard, hummingbird, flamingo, oriole, pheasant, woodpecker, chicken, thrush, ostrich, pigeon, pelican, falcon, penguin, parakeet, albatross, bluejay, sandpiper, titmouse and hawk. In the list a hawk is",present.,hawk,bird,"[-3.03125, -3.28125, -3.4375, -3.65625, -3.78125, -2.65625, -2.96875, -3.375, -3.84375, -3.34375, -3.5625, -3.6875, -3.1875, -3.71875, -3.0625, -2.78125, -3.3125, -4.0625, -4.03125, -3.5, -3.34375, -4.59375, -3.40625, -3.59375, -3.46875, -3.125, -3.28125, -3.46875, -3.34375, -3.109375, -3.96875, -3.28125, -3.34375, -3.65625, -3.21875, -3.15625, -3.90625, -3.25, -3.28125, -4.28125, -3.1875, -3.3125, -2.90625, -3.625, -3.21875, -3.875, -3.84375, -3.5625, -3.5625, -3.6875]",124439808,gpt2
"A list includes raven, goldfinch, robin, swan, bluebird, catbird, finch, goose, swallow, toucan, mockingbird, buzzard, hummingbird, flamingo, oriole, pheasant, woodpecker, chicken, thrush, ostrich, pigeon, pelican, falcon, penguin, parakeet, albatross, bluejay, sandpiper, titmouse and hawk. In the list a vulture is",present.,vulture,bird,"[-2.96875, -3.03125, -3.4375, -3.40625, -4.03125, -2.78125, -4.46875, -3.15625, -3.46875, -3.375, -2.9375, -3.3125, -3.09375, -3.25, -3.46875, -3.5625, -4.15625, -2.96875, -3.9375, -2.9375, -2.84375, -3.5, -3.84375, -3.34375, -3.53125, -3.0625, -2.875, -3.46875, -3.25, -2.6875, -3.234375, -3.25, -3.09375, -3.03125, -3.6875, -3.09375, -3.125, -3.125, -3.5625, -3.59375, -4.03125, -3.5, -3.3125, -3.15625, -3.6875, -3.84375, -3.375, -3.15625, -3.375, -4.25]",124439808,gpt2
"A list includes raven, goldfinch, robin, swan, bluebird, catbird, finch, goose, swallow, toucan, mockingbird, buzzard, hummingbird, flamingo, oriole, pheasant, woodpecker, chicken, thrush, ostrich, pigeon, pelican, falcon, penguin, parakeet, albatross, bluejay, sandpiper, titmouse and hawk. In the list a starling is",present.,starling,bird,"[-3.125, -3.21875, -3.3125, -3.5625, -3.34375, -3.375, -3.203125, -3.8125, -3.25, -3.4375, -3.15625, -3.5, -3.375, -2.9375, -3.59375, -2.8125, -3.40625, -3.5625, -3.625, -4.09375, -3.75, -3.375, -2.9375, -3.6875, -3.46875, -3.9375, -3.40625, -3.03125, -3.15625, -3.96875, -3.78125, -3.625, -3.84375, -3.21875, -3.46875, -3.5, -3.5, -2.78125, -3.3125, -3.46875, -3.25, -3.78125, -3.5, -2.75, -3.96875, -3.28125, -3.15625, -4.0625, -3.4375, -3.59375]",124439808,gpt2
"A list includes raven, goldfinch, robin, swan, bluebird, catbird, finch, goose, swallow, toucan, mockingbird, buzzard, hummingbird, flamingo, oriole, pheasant, woodpecker, chicken, thrush, ostrich, pigeon, pelican, falcon, penguin, parakeet, albatross, bluejay, sandpiper, titmouse and hawk. In the list a redbird is",present.,redbird,bird,"[-3.5, -3.5, -3.96875, -3.25, -2.875, -3.6875, -3.4375, -3.28125, -3.125, -3.03125, -3.0, -3.6875, -3.875, -3.34375, -3.3125, -3.8125, -3.46875, -3.375, -3.125, -3.53125, -3.34375, -3.375, -3.828125, -3.25, -4.03125, -3.296875, -3.6875, -3.375, -3.65625, -3.0, -3.625, -3.59375, -3.125, -3.28125, -3.28125, -3.6875, -3.78125, -3.53125, -3.59375, -3.75, -3.71875, -3.0, -3.15625, -3.75, -3.46875, -3.0, -3.375, -3.53125, -3.25, -3.53125]",124439808,gpt2
"A list includes raven, goldfinch, robin, swan, bluebird, catbird, finch, goose, swallow, toucan, mockingbird, buzzard, hummingbird, flamingo, oriole, pheasant, woodpecker, chicken, thrush, ostrich, pigeon, pelican, falcon, penguin, parakeet, albatross, bluejay, sandpiper, titmouse and hawk. In the list a peacock is",present.,peacock,bird,"[-3.3125, -3.40625, -3.3125, -2.59375, -2.875, -4.65625, -3.25, -3.46875, -3.625, -3.15625, -4.25, -2.96875, -2.8125, -4.34375, -3.59375, -3.59375, -4.0, -3.375, -3.53125, -3.59375, -3.71875, -3.71875, -3.90625, -3.65625, -4.09375, -3.84375, -3.59375, -3.34375, -4.046875, -3.40625, -3.09375, -4.125, -3.5625, -2.8125, -3.8125, -3.375, -3.921875, -3.15625, -3.15625, -3.59375, -3.578125, -3.875, -2.75, -3.03125, -3.21875, -3.875, -3.75, -3.65625, -3.734375, -3.625]",124439808,gpt2
"A list includes raven, goldfinch, robin, swan, bluebird, catbird, finch, goose, swallow, toucan, mockingbird, buzzard, hummingbird, flamingo, oriole, pheasant, woodpecker, chicken, thrush, ostrich, pigeon, pelican, falcon, penguin, parakeet, albatross, bluejay, sandpiper, titmouse and hawk. In the list a crow is",present.,crow,bird,"[-3.625, -3.46875, -3.3125, -3.8125, -3.90625, -3.375, -3.5, -3.8125, -3.71875, -3.625, -3.21875, -4.09375, -3.53125, -3.375, -3.40625, -4.5625, -3.59375, -4.3125, -4.125, -3.5, -3.21875, -3.75, -4.15625, -3.40625, -3.5625, -3.5625, -3.34375, -3.03125, -3.25, -3.46875, -3.0625, -4.03125, -3.59375, -3.71875, -3.78125, -3.875, -3.125, -3.4375, -3.84375, -3.3125, -3.25, -3.96875, -3.8125, -3.65625, -3.375, -2.6875, -3.75, -3.96875, -3.90625, -3.3125]",124439808,gpt2
"A list includes raven, goldfinch, robin, swan, bluebird, catbird, finch, goose, swallow, toucan, mockingbird, buzzard, hummingbird, flamingo, oriole, pheasant, woodpecker, chicken, thrush, ostrich, pigeon, pelican, falcon, penguin, parakeet, albatross, bluejay, sandpiper, titmouse and hawk. In the list a emu is",present.,emu,bird,"[-3.84375, -4.21875, -3.96875, -3.5625, -3.625, -3.59375, -4.0625, -3.84375, -3.625, -3.46875, -4.28125, -3.5625, -3.1875, -3.375, -3.75, -3.484375, -3.3125, -3.28125, -3.71875, -4.0, -3.65625, -3.53125, -3.125, -3.75, -3.75, -2.90625, -3.1875, -3.375, -3.84375, -4.28125, -3.59375, -4.375, -3.5625, -3.171875, -3.34375, -3.15625, -4.15625, -4.0, -4.0, -4.15625, -3.4375, -3.96875, -3.125, -3.46875, -3.3125, -4.0, -3.875, -3.15625, -3.40625, -3.75]",124439808,gpt2
"A list includes raven, goldfinch, robin, swan, bluebird, catbird, finch, goose, swallow, toucan, mockingbird, buzzard, hummingbird, flamingo, oriole, pheasant, woodpecker, chicken, thrush, ostrich, pigeon, pelican, falcon, penguin, parakeet, albatross, bluejay, sandpiper, titmouse and hawk. In the list a seagull is",present.,seagull,bird,"[-2.90625, -2.75, -3.25, -2.90625, -2.546875, -3.53125, -2.96875, -3.109375, -3.1875, -3.15625, -3.0, -4.03125, -3.21875, -3.34375, -3.4375, -3.0625, -3.4375, -3.65625, -3.90625, -3.09375, -2.9375, -3.125, -3.03125, -2.9375, -3.1875, -2.96875, -3.4375, -3.28125, -3.5625, -3.0, -3.4375, -3.71875, -3.40625, -3.4375, -3.328125, -3.125, -3.75, -3.0, -3.890625, -3.6875, -2.78125, -3.75, -3.34375, -3.625, -3.09375, -2.9375, -3.5625, -3.125, -3.6875, -3.5625]",124439808,gpt2
"A list includes raven, goldfinch, robin, swan, bluebird, catbird, finch, goose, swallow, toucan, mockingbird, buzzard, hummingbird, flamingo, oriole, pheasant, woodpecker, chicken, thrush, ostrich, pigeon, pelican, falcon, penguin, parakeet, albatross, bluejay, sandpiper, titmouse and hawk. In the list a bat is",present.,bat,bird,"[-4.40625, -4.5, -4.03125, -4.28125, -3.71875, -4.1875, -4.1875, -3.71875, -3.90625, -3.34375, -3.6875, -3.4375, -3.375, -3.90625, -3.765625, -3.59375, -5.09375, -4.0, -3.90625, -3.875, -3.53125, -3.625, -4.15625, -3.609375, -3.5625, -3.28125, -4.0625, -3.90625, -3.6875, -3.84375, -3.46875, -3.125, -3.125, -4.125, -4.15625, -3.25, -4.09375, -3.9375, -4.28125, -3.875, -4.6875, -3.375, -4.09375, -4.28125, -3.9375, -4.09375, -4.4375, -4.96875, -4.21875, -4.1875]",124439808,gpt2
"A list includes raven, goldfinch, robin, swan, bluebird, catbird, finch, goose, swallow, toucan, mockingbird, buzzard, hummingbird, flamingo, oriole, pheasant, woodpecker, chicken, thrush, ostrich, pigeon, pelican, falcon, penguin, parakeet, albatross, bluejay, sandpiper, titmouse and hawk. In the list a cardinal is",present.,cardinal,bird,"[-3.21875, -3.4375, -3.8125, -3.65625, -4.46875, -3.78125, -4.0625, -3.71875, -3.96875, -3.75, -3.21875, -4.1875, -3.6875, -3.75, -3.46875, -3.90625, -3.75, -3.21875, -3.625, -3.375, -3.34375, -3.3125, -3.46875, -3.0, -3.25, -2.875, -3.09375, -3.65625, -3.625, -3.9375, -3.8125, -3.46875, -3.3125, -3.375, -3.71875, -3.40625, -4.0625, -3.296875, -3.875, -3.25, -3.53125, -3.6875, -3.75, -3.96875, -3.4375, -3.59375, -3.59375, -3.9375, -3.6875, -4.015625]",124439808,gpt2
"A list includes raven, goldfinch, robin, swan, bluebird, catbird, finch, goose, swallow, toucan, mockingbird, buzzard, hummingbird, flamingo, oriole, pheasant, woodpecker, chicken, thrush, ostrich, pigeon, pelican, falcon, penguin, parakeet, albatross, bluejay, sandpiper, titmouse and hawk. In the list a egret is",present.,egret,bird,"[-3.28125, -3.375, -3.53125, -3.15625, -3.78125, -2.96875, -3.125, -3.28125, -3.65625, -3.90625, -3.390625, -2.71875, -3.59375, -3.4375, -2.84375, -3.28125, -3.125, -2.96875, -3.28125, -3.46875, -3.28125, -3.46875, -3.53125, -3.75, -3.875, -3.53125, -3.09375, -3.109375, -3.625, -3.0625, -3.3125, -3.21875, -3.546875, -3.78125, -3.40625, -3.21875, -3.46875, -3.5625, -3.0625, -3.34375, -4.03125, -3.25, -2.90625, -3.40625, -3.65625, -3.21875, -3.625, -3.0, -3.90625, -3.28125]",124439808,gpt2
"A list includes raven, goldfinch, robin, swan, bluebird, catbird, finch, goose, swallow, toucan, mockingbird, buzzard, hummingbird, flamingo, oriole, pheasant, woodpecker, chicken, thrush, ostrich, pigeon, pelican, falcon, penguin, parakeet, albatross, bluejay, sandpiper, titmouse and hawk. In the list a sparrow is",present.,sparrow,bird,"[-2.71875, -3.1875, -3.4375, -3.65625, -3.5625, -3.71875, -3.65625, -3.0, -3.421875, -3.28125, -3.203125, -3.5, -3.84375, -3.0625, -3.65625, -3.40625, -3.25, -3.625, -3.0625, -2.78125, -3.4375, -4.28125, -3.65625, -3.1875, -3.0, -3.625, -3.71875, -3.5625, -3.8125, -3.40625, -3.65625, -3.09375, -3.46875, -3.34375, -3.34375, -3.1875, -3.59375, -3.625, -4.09375, -3.125, -3.125, -3.53125, -3.28125, -3.21875, -3.46875, -3.3125, -3.6875, -3.59375, -3.25, -3.765625]",124439808,gpt2
"A list includes raven, goldfinch, robin, swan, bluebird, catbird, finch, goose, swallow, toucan, mockingbird, buzzard, hummingbird, flamingo, oriole, pheasant, woodpecker, chicken, thrush, ostrich, pigeon, pelican, falcon, penguin, parakeet, albatross, bluejay, sandpiper, titmouse and hawk. In the list a parrot is",present.,parrot,bird,"[-3.96875, -3.625, -3.96875, -4.15625, -4.15625, -3.1875, -4.4375, -3.75, -4.28125, -4.171875, -3.5625, -3.90625, -3.75, -4.09375, -4.25, -4.28125, -4.03125, -4.46875, -4.65625, -4.03125, -4.40625, -3.875, -3.96875, -3.53125, -3.5625, -3.75, -3.75, -4.09375, -3.828125, -3.46875, -4.46875, -3.84375, -3.59375, -3.84375, -4.1875, -4.25, -4.40625, -3.625, -3.828125, -3.5625, -4.125, -3.34375, -3.78125, -4.0625, -4.0, -3.46875, -3.953125, -4.125, -4.09375, -4.234375]",124439808,gpt2
"A list includes raven, goldfinch, robin, swan, bluebird, catbird, finch, goose, swallow, toucan, mockingbird, buzzard, hummingbird, flamingo, oriole, pheasant, woodpecker, chicken, thrush, ostrich, pigeon, pelican, falcon, penguin, parakeet, albatross, bluejay, sandpiper, titmouse and hawk. In the list a canary is",present.,canary,bird,"[-3.15625, -3.4375, -3.1875, -3.84375, -4.0625, -3.40625, -3.46875, -3.90625, -3.84375, -3.5625, -3.4375, -4.09375, -3.5625, -3.40625, -3.28125, -3.5625, -3.46875, -4.0625, -3.59375, -3.875, -4.46875, -3.8125, -3.375, -4.5, -3.34375, -3.8125, -3.40625, -3.5625, -3.90625, -3.375, -3.5625, -3.96875, -3.75, -3.78125, -3.4375, -4.1875, -3.65625, -3.75, -3.4375, -3.46875, -3.34375, -4.125, -3.65625, -3.65625, -3.03125, -3.125, -4.0625, -3.46875, -4.375, -3.21875]",124439808,gpt2
"A list includes raven, goldfinch, robin, swan, bluebird, catbird, finch, goose, swallow, toucan, mockingbird, buzzard, hummingbird, flamingo, oriole, pheasant, woodpecker, chicken, thrush, ostrich, pigeon, pelican, falcon, penguin, parakeet, albatross, bluejay, sandpiper, titmouse and hawk. In the list a turkey is",present.,turkey,bird,"[-3.75, -3.4375, -3.875, -4.21875, -3.75, -3.65625, -3.53125, -3.53125, -4.0625, -3.875, -3.9375, -4.46875, -3.84375, -3.75, -4.0, -3.84375, -3.40625, -3.96875, -4.1875, -3.78125, -3.65625, -3.40625, -3.59375, -3.78125, -3.78125, -3.5, -3.78125, -3.78125, -3.21875, -3.78125, -3.75, -4.40625, -3.1875, -3.1875, -4.1875, -4.1875, -4.5, -3.875, -4.15625, -4.0, -3.3125, -3.625, -3.96875, -3.125, -3.96875, -3.21875, -3.90625, -3.375, -3.46875, -3.25]",124439808,gpt2
"A list includes raven, goldfinch, robin, swan, bluebird, catbird, finch, goose, swallow, toucan, mockingbird, buzzard, hummingbird, flamingo, oriole, pheasant, woodpecker, chicken, thrush, ostrich, pigeon, pelican, falcon, penguin, parakeet, albatross, bluejay, sandpiper, titmouse and hawk. In the list a wren is",present.,wren,bird,"[-3.5625, -3.59375, -3.375, -3.625, -4.0, -3.53125, -3.25, -3.9375, -3.6875, -3.71875, -3.34375, -3.84375, -3.46875, -3.71875, -3.375, -3.96875, -3.53125, -3.53125, -3.0625, -3.53125, -3.40625, -3.78125, -3.46875, -3.25, -3.75, -3.375, -2.90625, -3.6875, -3.59375, -3.84375, -3.875, -3.28125, -3.34375, -3.78125, -3.5, -3.75, -3.6875, -3.78125, -3.40625, -4.15625, -4.09375, -3.8125, -3.8125, -4.09375, -3.90625, -3.5625, -3.5, -3.59375, -4.0, -3.71875]",124439808,gpt2
"A list includes raven, goldfinch, robin, swan, bluebird, catbird, finch, goose, swallow, toucan, mockingbird, buzzard, hummingbird, flamingo, oriole, pheasant, woodpecker, chicken, thrush, ostrich, pigeon, pelican, falcon, penguin, parakeet, albatross, bluejay, sandpiper, titmouse and hawk. In the list a duck is",present.,duck,bird,"[-4.40625, -3.5625, -3.140625, -3.96875, -3.625, -3.59375, -3.9375, -4.4375, -3.9375, -4.78125, -4.21875, -3.875, -3.78125, -4.09375, -4.6875, -3.6875, -3.5625, -3.46875, -3.78125, -3.9375, -4.0625, -3.96875, -3.46875, -4.5, -3.671875, -3.78125, -4.25, -3.8125, -4.3125, -4.515625, -3.78125, -4.453125, -3.90625, -3.875, -3.625, -4.3125, -3.9375, -3.640625, -3.6875, -3.75, -3.84375, -3.875, -4.25, -4.03125, -4.0, -4.09375, -4.34375, -4.15625, -4.15625, -4.0]",124439808,gpt2
"A list includes raven, goldfinch, robin, swan, bluebird, catbird, finch, goose, swallow, toucan, mockingbird, buzzard, hummingbird, flamingo, oriole, pheasant, woodpecker, chicken, thrush, ostrich, pigeon, pelican, falcon, penguin, parakeet, albatross, bluejay, sandpiper, titmouse and hawk. In the list a eagle is",present.,eagle,bird,"[-3.53125, -3.46875, -2.75, -3.375, -3.5, -3.34375, -3.5625, -3.46875, -3.375, -3.34375, -3.875, -3.59375, -3.421875, -3.5, -3.1875, -3.4375, -3.8125, -3.3125, -2.59375, -3.15625, -3.28125, -2.96875, -2.5, -3.15625, -3.71875, -3.640625, -3.3125, -3.28125, -3.84375, -3.5625, -3.0625, -2.96875, -3.625, -3.1875, -3.5, -3.0, -3.265625, -3.5625, -3.46875, -2.9375, -3.21875, -3.5625, -3.359375, -3.375, -3.21875, -3.34375, -3.65625, -3.34375, -3.40625, -3.09375]",124439808,gpt2
